user id ,titulo ,comprar/juegar,1.0 si es comprar,
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,play,54.0,0
53875128,S.T.A.L.K.E.R. Call of Pripyat,purchase,1.0,0
53875128,S.T.A.L.K.E.R. Call of Pripyat,play,50.0,0
53875128,Saints Row The Third,purchase,1.0,0
53875128,Saints Row The Third,play,35.0,0
53875128,Far Cry 3,purchase,1.0,0
53875128,Far Cry 3,play,35.0,0
53875128,S.T.A.L.K.E.R. Clear Sky,purchase,1.0,0
53875128,S.T.A.L.K.E.R. Clear Sky,play,35.0,0
53875128,Rocket League,purchase,1.0,0
53875128,Rocket League,play,34.0,0
53875128,Assassin's Creed II,purchase,1.0,0
53875128,Assassin's Creed II,play,33.0,0
53875128,Far Cry 4,purchase,1.0,0
53875128,Far Cry 4,play,32.0,0
53875128,Prototype,purchase,1.0,0
53875128,Prototype,play,25.0,0
53875128,Space Pirates and Zombies,purchase,1.0,0
53875128,Space Pirates and Zombies,play,24.0,0
53875128,Dying Light,purchase,1.0,0
53875128,Dying Light,play,23.0,0
53875128,Just Cause 2,purchase,1.0,0
53875128,Just Cause 2,play,23.0,0
53875128,Mirror's Edge,purchase,1.0,0
53875128,Mirror's Edge,play,23.0,0
53875128,Mad Max,purchase,1.0,0
53875128,Mad Max,play,22.0,0
53875128,Portal 2,purchase,1.0,0
53875128,Portal 2,play,21.0,0
53875128,Deus Ex Human Revolution,purchase,1.0,0
53875128,Deus Ex Human Revolution,play,21.0,0
53875128,Middle-earth Shadow of Mordor,purchase,1.0,0
53875128,Middle-earth Shadow of Mordor,play,19.6,0
53875128,RUNNING WITH RIFLES,purchase,1.0,0
53875128,RUNNING WITH RIFLES,play,18.5,0
53875128,Deus Ex Human Revolution - Director's Cut,purchase,1.0,0
53875128,Deus Ex Human Revolution - Director's Cut,play,18.3,0
53875128,Batman Arkham City GOTY,purchase,1.0,0
53875128,Batman Arkham City GOTY,play,16.9,0
53875128,Tropico 4,purchase,1.0,0
53875128,Tropico 4,play,14.3,0
53875128,Cave Story+,purchase,1.0,0
53875128,Cave Story+,play,13.7,0
53875128,Dust An Elysian Tail,purchase,1.0,0
53875128,Dust An Elysian Tail,play,13.4,0
53875128,F.E.A.R.,purchase,1.0,0
53875128,F.E.A.R.,play,12.5,0
53875128,South Park The Stick of Truth,purchase,1.0,0
53875128,South Park The Stick of Truth,play,12.2,0
53875128,Sleeping Dogs,purchase,1.0,0
53875128,Sleeping Dogs,play,11.5,0
53875128,Watch_Dogs,purchase,1.0,0
53875128,Watch_Dogs,play,11.2,0
53875128,Saints Row IV,purchase,1.0,0
53875128,Saints Row IV,play,11.1,0
53875128,DayZ,purchase,1.0,0
53875128,DayZ,play,11.0,0
53875128,Half-Life 2,purchase,1.0,0
54324567,days gone,purchase,1.0,0
